术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
数据格式,健康信息学 心脏骤停调查基本内容与数据规范,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,范围冲突,定义1明确规定了数据格式的内涵（如长度、表示格式），而定义2仅将其指向另一标准中的表，两者对“数据格式”这一属性具体指称的内容范围划定不同。
数据格式,健康信息学 心脏骤停调查基本内容与数据规范,公务用车管理平台数据规范,范围冲突,"两个定义对“数据格式”指称对象的外延划定不同，定义1强调“从业务角度规定数据元值的格式”，定义2则具体化为“数据项长度的表示格式”，后者包含的符号类型（如m, ul, p,q, ..）超出了前者的描述范围，导致部分格式（如定长、不定长文本、小数精度）在定义2下属于数据格式，而在定义1的表述中可能不被明确涵盖。"
数据格式,机械 科学数据 第3部分：元数据,实景地图数据产品,格式冲突,定义2仅为权重值，缺少属概念和种差，不符合内涵定义的基本写作规范。
数据格式,机械 科学数据 第3部分：元数据,社区基础数据元,领域冲突,定义1从数据资源管理与编码的视角定义，属概念为‘说明’；定义2从业务需求与约束的视角定义，属概念为‘需求’，体现了不同学科/领域的关注点差异。
数据格式,机械 科学数据 第3部分：元数据,机关事务信息化基础数据规范,领域冲突,两个定义将术语“数据格式”归入不同领域（元数据代码表 vs. 数据项长度描述），属概念和核心关注点不同。
数据格式,机械 科学数据 第3部分：元数据,发电工程数据移交,领域冲突,两个定义将术语归入不同领域（元数据管理与数据交换工程）的属概念，导致对术语本质的理解和定位不同。
数据格式,机械 科学数据 第3部分：元数据,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,领域冲突,两个定义将术语“数据格式”归入不同领域（科学数据元数据 vs. 教育管理数据元素属性），其属概念和关注点本质不同。
数据格式,机械 科学数据 第3部分：元数据,公务用车管理平台数据规范,领域冲突,两个定义将“数据格式”归入不同领域（元数据代码引用 vs. 数据项长度表示符号），属概念和本质理解不同。
数据格式,机械 科学数据 第3部分：元数据,社区信息化 第4部分：数据元素字典,领域冲突,两个定义分别从数据资源管理（机械科学）和业务需求规范（社区信息化）的不同领域视角界定术语，导致属概念（格式说明 vs. 格式需求）和关注点本质不同。
数据格式,实景地图数据产品,社区基础数据元,格式冲突,定义1因缺少属概念和可识别的种差要素，导致无法按内涵定义逻辑进行有效对比，违反了术语定义的写作规范。
数据格式,实景地图数据产品,机关事务信息化基础数据规范,格式冲突,定义1缺少属概念和可识别的种差要素，导致无法按内涵定义逻辑进行有效对比。
数据格式,实景地图数据产品,发电工程数据移交,格式冲突,定义1因权重值无法构成有效内涵定义，缺少属概念和可识别的种差，违反术语定义写作规范。
数据格式,实景地图数据产品,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,格式冲突,定义1因缺少属概念和可识别的种差要素，导致无法按内涵定义逻辑进行有效对比，违反了术语定义的写作规范。
数据格式,实景地图数据产品,公务用车管理平台数据规范,范围冲突,定义1的属概念为‘数据项’，定义2的属概念为‘数据项长度的表示格式’，两者本质属概念相同（均为数据项的格式属性），但定义2通过符号描述明确限定了其指称对象为字符类型和长度的表示方式，而定义1未作此限定，导致两者对‘数据格式’这一概念的外延边界划定不同。
数据格式,实景地图数据产品,社区信息化 第4部分：数据元素字典,格式冲突,定义1因缺少属概念和可识别的种差要素，导致无法按内涵定义逻辑进行有效对比，违反了术语定义的写作规范。
数据格式,社区基础数据元,机关事务信息化基础数据规范,领域冲突,两个定义从不同视角（业务需求与技术符号）规定数据格式，属概念与核心特征存在本质差异。
数据格式,社区基础数据元,发电工程数据移交,领域冲突,两个定义将术语归入不同领域（业务需求 vs. 数据交换参考代码分类），导致属概念和本质理解不同。
数据格式,社区基础数据元,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,范围冲突,定义1描述的是通用业务角度的格式需求（如长度、表示格式），而定义2限定为特定标准中表2规定的字符及其含义，两者对“数据格式”这一属性的外延边界划定不同。
数据格式,社区基础数据元,公务用车管理平台数据规范,范围冲突,定义1的指称对象是包含长度、表示格式等的广义“格式需求”，而定义2的指称对象仅限于描述数据项长度的“表示格式”，两者对术语外延的划定不同。
数据格式,机关事务信息化基础数据规范,发电工程数据移交,领域冲突,两个定义将术语置于不同领域（数据项描述规范 vs. 数据交换分类），导致属概念和本质理解不同。
数据格式,机关事务信息化基础数据规范,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,领域冲突,两个定义将“数据格式”归入不同领域（数据项描述 vs. 公共数据元素属性），属概念和关注本质不同。
数据格式,机关事务信息化基础数据规范,社区信息化 第4部分：数据元素字典,领域冲突,定义1从技术符号与编码标准角度定义，属概念为“符号描述”；定义2从业务需求角度定义，属概念为“格式需求”，两者分属不同学科/领域视角。
数据格式,发电工程数据移交,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,领域冲突,两个定义将术语“数据格式”置于不同领域（数据交换/存储 vs. 数据元素属性），其属概念和本质理解存在学科视角差异。
数据格式,发电工程数据移交,公务用车管理平台数据规范,范围冲突,定义1的指称对象是数据交换参考代码中的分类，定义2的指称对象是数据项长度的表示格式，两者对术语“数据格式”所指对象的外延划定不同，存在某对象（如“JSON格式”）在定义1下可能属于、在定义2下不属于的情况。
数据格式,发电工程数据移交,社区信息化 第4部分：数据元素字典,领域冲突,两个定义将术语归入不同领域（数据交换编码分类 vs. 业务需求规定），导致属概念和本质理解不同。
数据格式,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,公务用车管理平台数据规范,层级冲突,定义1将'数据格式'的属概念归为'公共数据元素的属性之一'，定义2将其归为'数据项长度的表示格式'，两者属于不同的上位概念体系。
数据格式,信息技术 学习、教育和培训 教育管理数据元素 第2部分：公共数据元素,社区信息化 第4部分：数据元素字典,层级冲突,两个定义将“数据格式”归入不同的上位概念（属），分别是“公共数据元素的属性之一”和“从业务角度规定的数据元素值的格式需求”，导致层级定位不同。
数据格式,公务用车管理平台数据规范,社区信息化 第4部分：数据元素字典,层级冲突,定义1的属概念是“数据项长度的表示格式”，定义2的属概念是“数据元素值的格式需求”，两者属于不同的上位范畴。
数据格式代码,机械 科学数据 第2部分：数据元目录,输变电工程数据移交规范,范围冲突,定义1的外延（常见格式）是定义2外延（符合特定表规定的代码）的真子集，导致存在对象（符合表A.3但不常见的格式代码）在定义2下属于，在定义1下不属于。
数据格式代码,输变电工程数据移交规范,机械 科学数据 第3部分：元数据,范围冲突,定义1的指称对象限定为符合特定表格规定的代码，而定义2的指称对象是用于标识常见数据资源格式的代码，两者外延边界不同。
数据模块,民用飞机维修技术数据规范,民用飞机飞行运行技术数据规范,层级冲突,定义1的属概念为'出版物中的结构化数据单元'，定义2的属概念为'技术数据中最小的独立数据单元'，两者属于不同的上位概念体系。
数据模块 (DM),交互式电子技术手册 第3部分：公共源数据库要求,民用飞机维修技术数据规范,层级冲突,两个定义将术语归入不同的上位概念（属），定义1为'技术手册中...'，定义2为'技术数据中...'，导致层级定位不同。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,车载导航地理数据采集处理技术规程,引用冲突,两个定义分别引用了不同的国家标准（GB/T18391.1—2009 与 GB/T19711—2005），且引用内容（图形/文字性表示 vs 数据结构）存在规定上的矛盾。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,信息技术 数据质量评价指标,领域冲突,两个定义将“数据模型”归入不同的上位概念（“数据的表示”与“对分析的描述”），反映了信息技术与数据质量管理两个不同领域的视角差异。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,信息技术 传感器网络 第702部分：传感器接口：数据接口,层级冲突,定义1的属概念是‘表示’，定义2的属概念是‘枚举类型’，两者将术语归入不同的上位概念，导致层级定位不同。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,信息技术 大数据 数据资源规划,格式冲突,定义2未提供具体内涵定义，仅说明引用来源，导致无法按内涵定义逻辑进行有效对比。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,进口冷链食品追溯 追溯系统数据交换应用规范,层级冲突,定义1的属概念是‘表示’，定义2的属概念是‘模型’，两者属于不同的上位概念层级。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,军民通用资源 信息数据对接技术标准总体要求,层级冲突,定义1的属概念是“表示”（一种描述或呈现方式），定义2的属概念是“技术要求”，两者将术语归入完全不同的上位范畴。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,能源互联网数据平台技术规范,层级冲突,两个定义将‘数据模型’归入不同的上位概念（‘表示’与‘数据结构’），导致其层级定位不同。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,林业物联网 第602部分：传感器数据接口规范,层级冲突,定义1的属概念是‘表示’，定义2的属概念是‘包括...的描述’，两者将术语归入不同的上位范畴，导致层级定位不同。
数据模型,智慧城市 数据融合 第4部分：开放共享要求,发电工程数据移交,格式冲突,定义2缺少明确的属概念，且结构失范，无法按内涵定义逻辑进行有效对比。
数据模型,车载导航地理数据采集处理技术规程,信息技术 数据质量评价指标,层级冲突,两个定义将“数据模型”归入完全不同的上位概念（“数据结构”与“对分析的图像和文本描述”），导致其层级定位根本不同。
数据模型,车载导航地理数据采集处理技术规程,军民通用资源 数据模型 第3部分：器材类 航材,层级冲突,两个定义将‘数据模型’归入不同的上位概念（‘数据结构’与‘图形或文字表示’），导致其层级定位不同。
数据模型,车载导航地理数据采集处理技术规程,科技平台 数据元设计与管理,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），一个归为“数据结构”，另一个归为“表示”，导致层级定位不同。
数据模型,车载导航地理数据采集处理技术规程,信息技术 传感器网络 第702部分：传感器接口：数据接口,层级冲突,定义1的属概念是‘数据结构’，定义2的属概念是‘枚举类型’，两者属于不同的上位概念，导致术语的层级定位不同。
数据模型,车载导航地理数据采集处理技术规程,信息技术 大数据 数据资源规划,引用冲突,两个定义分别引用了不同的标准（GB/T19711—2005 与 GB/T 5271.1—2000、GB/Z18219—2008），且引用来源不同直接导致了定义内容和依据的矛盾。
数据模型,车载导航地理数据采集处理技术规程,进口冷链食品追溯 追溯系统数据交换应用规范,层级冲突,定义1将属概念定位为“数据结构”，定义2将属概念定位为“统一的数据模型”，两者对术语的上位范畴定位不同。
数据模型,车载导航地理数据采集处理技术规程,军民通用资源 信息数据对接技术标准总体要求,格式冲突,定义1为循环定义（用术语自身解释），定义2缺少属概念且结构失范，均违反内涵定义写作规范。
数据模型,车载导航地理数据采集处理技术规程,能源互联网数据平台技术规范,引用冲突,两个定义分别引用了不同的标准或来源（GB/T19711—2005 与 参考标准要求），且引用的不同来源导致了定义内容（数据结构的具体应用指向）存在差异。
数据模型,车载导航地理数据采集处理技术规程,林业物联网 第602部分：传感器数据接口规范,层级冲突,定义1将数据模型的上位概念（属）定义为‘数据结构’，而定义2将其定义为对‘返回的传感数据’的描述，两者属于不同的范畴层级。
数据模型,车载导航地理数据采集处理技术规程,发电工程数据移交,格式冲突,定义1为循环引用，定义2结构失范、逻辑混乱，均严重违反术语定义写作规范。
数据模型,信息技术 数据质量评价指标,军民通用资源 数据模型 第3部分：器材类 航材,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），定义1属概念为“对分析的图像和文本描述”，定义2属概念为“数据的图形或文字表示”，导致层级定位不同。
数据模型,信息技术 数据质量评价指标,科技平台 数据元设计与管理,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），定义1的属是“对分析的图像和文本描述”，定义2的属是“数据的图形或文字表示”，导致层级定位不同。
数据模型,信息技术 数据质量评价指标,信息技术 传感器网络 第702部分：传感器接口：数据接口,层级冲突,定义1将数据模型的属概念定位为“对分析的图像和文本描述”，定义2则定位为“表示数据的枚举类型”，两者属于不同的上位概念范畴。
数据模型,信息技术 数据质量评价指标,信息技术 大数据 数据资源规划,格式冲突,定义2未提供实质内涵定义，仅说明引用来源，导致无法进行有效的属种差拆解与对比。
数据模型,信息技术 数据质量评价指标,进口冷链食品追溯 追溯系统数据交换应用规范,层级冲突,定义1将数据模型定义为一种‘描述’，属于信息/知识范畴；定义2将其定义为‘统一的数据模型用于...’，属于工具/规范范畴，两者上位概念（属）不同，导致层级定位差异。
数据模型,信息技术 数据质量评价指标,军民通用资源 信息数据对接技术标准总体要求,格式冲突,定义2不符合内涵定义规范，缺少属概念和明确的种差，无法与定义1进行有效的逻辑要素对比。
数据模型,信息技术 数据质量评价指标,能源互联网数据平台技术规范,层级冲突,定义1将数据模型的属概念定位为“对分析的图像和文本描述”，强调其作为分析产物的抽象表示；而定义2将其属概念定位为“数据结构”，强调其作为测试依据的具体结构，两者属于不同的上位概念范畴。
数据模型,信息技术 数据质量评价指标,林业物联网 第602部分：传感器数据接口规范,层级冲突,定义1将数据模型的属概念定位为“对分析的图像和文本描述”，定义2则定位为“包括数据类型、数据八位位组数、数据等”，两者属于完全不同的上位范畴，导致层级定位不同。
数据模型,信息技术 数据质量评价指标,发电工程数据移交,层级冲突,两个定义将'数据模型'归入不同的上位概念（属），一个归为'对分析的图像和文本描述'，另一个归为'由实体类型的子类型/超类型层次结构组成'，导致层级定位完全不同。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,信息技术 传感器网络 第702部分：传感器接口：数据接口,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），分别是“图形或文字表示”和“枚举类型”，导致层级定位不同。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,信息技术 大数据 数据资源规划,引用冲突,两个定义分别引用了不同的国家标准（GB/T 18391.1—2009 与 GB/T 5271.1—2000、GB/Z18219—2008），且这些标准对“数据模型”的规定或侧重不同，导致定义依据和潜在内涵存在矛盾。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,进口冷链食品追溯 追溯系统数据交换应用规范,层级冲突,定义1将“数据模型”归为“数据的图形或文字表示”，定义2将其归为“统一的数据模型”，两者属概念（上位范畴）不同，导致层级定位不一致。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,军民通用资源 信息数据对接技术标准总体要求,层级冲突,定义1将术语归入“数据的图形或文字表示”这一上位概念，而定义2将其归入“技术要求”这一上位概念，导致层级定位不同。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,能源互联网数据平台技术规范,层级冲突,两个定义将“数据模型”归入不同的上位概念（“表示”与“数据结构”），导致层级定位不同。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,林业物联网 第602部分：传感器数据接口规范,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），一个归为“表示”，另一个归为“描述内容”，导致层级定位不同。
数据模型,军民通用资源 数据模型 第3部分：器材类 航材,发电工程数据移交,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），一个归为“表示”，另一个归为“层次结构”，导致层级定位不同。
数据模型,科技平台 数据元设计与管理,信息技术 传感器网络 第702部分：传感器接口：数据接口,层级冲突,两个定义将“数据模型”归入不同的上位概念（“表示”与“枚举类型”），导致层级定位不同。
数据模型,科技平台 数据元设计与管理,信息技术 大数据 数据资源规划,引用冲突,两个定义引用了不同的权威标准（GB/T 18391.1—2009 与 GB/T 5271.1—2000、GB/Z18219—2008），且这些标准对“数据模型”的定义规定存在差异。
数据模型,科技平台 数据元设计与管理,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
数据模型,科技平台 数据元设计与管理,军民通用资源 信息数据对接技术标准总体要求,格式冲突,定义2缺少属概念且结构失范，不符合内涵定义的基本写作规范。
数据模型,科技平台 数据元设计与管理,能源互联网数据平台技术规范,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），定义1的属是“表示”，定义2的属是“数据结构”，导致层级定位不同。
数据模型,科技平台 数据元设计与管理,林业物联网 第602部分：传感器数据接口规范,层级冲突,两个定义将“数据模型”归入不同的上位概念（属），定义1的属是“表示”，定义2的属是“包括...的描述”，导致层级定位不同。
数据模型,科技平台 数据元设计与管理,发电工程数据移交,格式冲突,定义2缺少明确的属概念，且结构失范，无法按内涵定义逻辑进行有效对比。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,信息技术 大数据 数据资源规划,格式冲突,定义1缺少属概念且结构失范，定义2为循环定义，均严重违反术语定义写作规范。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,进口冷链食品追溯 追溯系统数据交换应用规范,层级冲突,定义1将‘数据模型’的属概念定位为‘枚举类型’，定义2则定位为‘统一的数据模型’，两者属于不同的上位概念和层级体系。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,军民通用资源 信息数据对接技术标准总体要求,层级冲突,定义1将'数据模型'的属概念定位为'枚举类型'，定义2将其定位为'技术要求'，两者属于完全不同的上位概念体系。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,能源互联网数据平台技术规范,层级冲突,两个定义将“数据模型”归入不同的上位概念（“枚举类型”与“数据结构”），导致其层级定位不同。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,林业物联网 第602部分：传感器数据接口规范,层级冲突,定义1的属概念是'表示数据的枚举类型'，定义2的属概念是'用于描述返回的传感数据'的集合，两者将术语归入不同的上位范畴。
数据模型,信息技术 传感器网络 第702部分：传感器接口：数据接口,发电工程数据移交,层级冲突,两个定义将“数据模型”归入完全不同的上位概念（“枚举类型”与“实体类型的层次结构”），导致其层级定位根本不同。
数据模型,信息技术 大数据 数据资源规划,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义1未提供具体内涵定义，仅说明引用来源，导致无法按标准方法拆解属概念和种差进行有效对比。
数据模型,信息技术 大数据 数据资源规划,军民通用资源 信息数据对接技术标准总体要求,格式冲突,定义1为循环引用，定义2为描述性说明，均未提供有效的内涵定义，无法进行属种差逻辑对比。
数据模型,信息技术 大数据 数据资源规划,能源互联网数据平台技术规范,格式冲突,定义1为引用式定义，未提供可分析的属和种差，结构失范，无法与定义2进行有效对比。
数据模型,信息技术 大数据 数据资源规划,林业物联网 第602部分：传感器数据接口规范,领域冲突,两个定义将“数据模型”归入不同领域（通用信息技术与具体林业物联网传感器数据描述），其属概念和本质理解存在根本差异。
数据模型,信息技术 大数据 数据资源规划,发电工程数据移交,格式冲突,定义2缺少明确的属概念，且其种差要素（如“由实体类型的子类型/超类型层次结构组成”）表述抽象、结构失范，无法按内涵定义逻辑与定义1进行有效对比。
数据模型,进口冷链食品追溯 追溯系统数据交换应用规范,军民通用资源 信息数据对接技术标准总体要求,层级冲突,定义1将数据模型定位为用于数据交换的“统一的数据模型”，定义2则将其定位为需要编制技术要求的对象，两者属概念（上位范畴）不同，反映了体系层级定位的差异。
数据模型,进口冷链食品追溯 追溯系统数据交换应用规范,能源互联网数据平台技术规范,层级冲突,两个定义将‘数据模型’归入不同的上位概念（‘统一的数据模型’与‘数据结构’），导致其层级定位不同。
数据模型,进口冷链食品追溯 追溯系统数据交换应用规范,林业物联网 第602部分：传感器数据接口规范,层级冲突,两个定义将'数据模型'归入不同的上位概念（属），一个强调其作为'统一'的交换工具，另一个描述为包含具体数据元素的描述结构，导致层级定位不同。
数据模型,进口冷链食品追溯 追溯系统数据交换应用规范,发电工程数据移交,格式冲突,定义2缺少明确的属概念，且其表述结构失范、逻辑不清，无法按内涵定义逻辑进行有效对比。
数据模型,军民通用资源 信息数据对接技术标准总体要求,能源互联网数据平台技术规范,格式冲突,定义1缺少属概念，且结构失范，不符合内涵定义的基本写作规范。
数据模型,军民通用资源 信息数据对接技术标准总体要求,林业物联网 第602部分：传感器数据接口规范,层级冲突,定义1将术语的属概念定位为'技术要求'，而定义2定位为'描述返回的传感数据'的组成部分，两者上位范畴完全不同。
数据模型,军民通用资源 信息数据对接技术标准总体要求,发电工程数据移交,格式冲突,定义1不符合内涵定义规范，缺少属概念，无法进行有效的属种差对比。
数据模型,能源互联网数据平台技术规范,林业物联网 第602部分：传感器数据接口规范,层级冲突,两个定义将'数据模型'归入不同的上位概念（属），一个属'数据结构'，另一个属'包括数据类型、数据八位位组数、数据等的描述'，导致层级定位不同。
数据模型,能源互联网数据平台技术规范,发电工程数据移交,格式冲突,定义2缺少明确的属概念，且其描述结构失范、逻辑混乱，无法按内涵定义逻辑进行有效拆解和对比。
数据模型,林业物联网 第602部分：传感器数据接口规范,发电工程数据移交,层级冲突,两个定义将“数据模型”归入完全不同的上位概念（属），一个指向具体的数据描述，另一个指向抽象的实体类型层次结构。
数据治理,城市数据治理能力成熟度模型,信息技术 大数据 术语,层级冲突,两个定义将“数据治理”归入不同的上位概念（属），一个定义为“集合”，另一个定义为“过程”，导致层级定位不同。
数据治理,城市数据治理能力成熟度模型,政务服务便民热线数据应用指南,格式冲突,定义2缺少完整的属概念和种差，不符合内涵定义的基本结构，无法与定义1进行有效对比。
数据治理,信息技术服务 治理 第5部分：数据治理规范,信息技术 大数据 术语,层级冲突,定义1将数据治理的属概念定位为“集合”（强调管控体系），而定义2定位为“过程”（强调操作流程），导致其上位概念和层级定位不同。
数据治理,信息技术服务 治理 第5部分：数据治理规范,政务服务便民热线数据应用指南,格式冲突,定义2缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
数据治理,信息技术 大数据 术语,政务服务便民热线数据应用指南,格式冲突,定义2缺少完整的属概念和种差，不符合内涵定义的基本结构，无法进行有效对比。
数据流,轮胎智能制造 数据字典,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,层级冲突,两个定义将“数据流”归入不同的上位概念（“数据序列”与“观测数据序列”），导致其层级定位不同。
数据流,轮胎智能制造 数据字典,数字电视系统数据广播技术规范,领域冲突,两个定义将“数据流”置于不同学科领域（智能制造系统数据序列 vs. 数字电视广播业务传输流），属概念和本质理解不同。
数据流,轮胎智能制造 数据字典,统计数据与元数据交换（SDMX） 第1部分：框架,层级冲突,两个定义将“数据流”归入不同的上位概念（“数据序列”与“数据集”），导致其层级定位不同。
数据流,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,数字电视系统数据广播技术规范,领域冲突,两个定义分别从卫星导航观测数据格式和数字电视数据广播业务两个不同技术领域出发，对“数据流”的属概念和本质属性进行了不同的界定。
数据流,全球连续监测评估系统（iGMAS）实时服务 第1部分：数据流格式,统计数据与元数据交换（SDMX） 第1部分：框架,层级冲突,两个定义将“数据流”归入不同的上位概念（属），定义1的属是“观测数据序列”，定义2的属是“数据集”，导致层级定位不同。
数据流,数字电视系统数据广播技术规范,统计数据与元数据交换（SDMX） 第1部分：框架,领域冲突,两个定义将“数据流”归入不同领域（数字电视数据广播业务 vs. 通用数据交换框架），导致属概念和本质理解完全不同。
数据清洗,基于文本数据的金融风险防控要求,民用无人机地理围栏数据技术规范,范围冲突,两个定义对“数据清洗”过程所处理的数据对象范围划定不同，定义1针对所有文本数据，定义2限定为“有效地理围栏数据”。
数据清洗,基于文本数据的金融风险防控要求,智慧城市基础设施 突发公共卫生事件居住社区基础设施数据获取和报送规范,层级冲突,定义1的属概念是“过程”，定义2的属概念是“操作”，两者属于不同的上位概念层级。
数据清洗,民用无人机地理围栏数据技术规范,智慧城市基础设施 突发公共卫生事件居住社区基础设施数据获取和报送规范,范围冲突,两个定义对“数据清洗”这一过程所包含的具体操作（外延）划定不同，定义1限定于特定数据（地理围栏数据）的特定过程，定义2描述为更通用的数据转换与变换操作，导致某些操作（如数据类型转换）可能仅属于其中一个定义的范围。
数据源,月球信息元数据,电信术语 使用离散信号的电信方式、电报、传真和数据通信,层级冲突,两个定义将“数据源”归入不同的上位概念（“信息”与“设备”），导致其层级定位不同。
数据源,月球信息元数据,工业物联网 数据采集结构化描述规范,层级冲突,定义1的属概念为'信息'，定义2的属概念为'组件或子系统'，两者属于完全不同的上位范畴，导致术语的层级定位不同。
数据源,月球信息元数据,智能制造 工业数据空间参考模型,层级冲突,两个定义将‘数据源’归入不同的上位概念（‘信息’与‘原始来源’），导致其层级定位不同。
数据源,月球信息元数据,智能制造 工业数据 云端适配规范,层级冲突,两个定义将“数据源”归入不同的上位概念（属），定义1的属是“信息”，定义2的属是“系统或设备”，导致层级定位不同。
数据源,月球信息元数据,生态科学数据元数据,范围冲突,定义2通过'需唯一标识'这一限定，对数据源说明的边界（即必须包含唯一标识信息）做出了比定义1更严格的规定，导致符合定义1的某些说明可能不符合定义2。
数据源,月球信息元数据,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,范围冲突,定义1强调‘生产方确定’的特定信息，定义2描述为通用的‘来源类型’，两者对‘数据源’概念的外延（边界）划定不同，存在归属争议。
数据源,月球信息元数据,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,层级冲突,定义1的属概念为‘信息’，定义2的属概念为‘类型’，两者将术语归入不同的上位范畴。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,工业物联网 数据采集结构化描述规范,层级冲突,两个定义将“数据源”归入不同的上位概念（“设备”与“组件或子系统”），导致层级定位不同。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,智能制造 工业数据空间参考模型,层级冲突,两个定义将“数据源”归入不同的上位概念（“设备”与“来源”），导致其层级定位不同。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,智能制造 工业数据 云端适配规范,层级冲突,两个定义将“数据源”归入不同的上位概念（“设备”与“系统或设备”），导致其层级定位不同。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,生态科学数据元数据,层级冲突,定义1的属概念是‘设备’，定义2的属概念是‘说明’，两者将术语归入完全不同的上位范畴。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,层级冲突,两个定义将“数据源”归入不同的上位概念（“设备”与“类型”），导致其层级定位不同。
数据源,电信术语 使用离散信号的电信方式、电报、传真和数据通信,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,层级冲突,定义1将术语归入'设备'这一实体范畴，而定义2将其归入'类型'这一抽象分类范畴，属概念不同导致层级定位冲突。
数据源,工业物联网 数据采集结构化描述规范,智能制造 工业数据空间参考模型,层级冲突,定义1将术语归入“组件或子系统”这一具体实体范畴，而定义2归入“原始来源”这一抽象功能范畴，导致层级定位不同。
数据源,工业物联网 数据采集结构化描述规范,智能制造 工业数据 云端适配规范,范围冲突,定义1明确列举了多种组件或子系统作为数据源，而定义2的“数据采集系统或其他直接与云端连接的系统或设备”范围更窄，导致部分对象（如ERP系统、供应链系统）在定义1下属于数据源，在定义2下可能不属于。
数据源,工业物联网 数据采集结构化描述规范,生态科学数据元数据,领域冲突,定义1将术语归入工业物联网系统的具体组件或子系统（属概念），定义2将其归入数据集生产过程中的一种说明信息（属概念），两者体现了不同学科/领域（工程技术 vs. 数据管理）对同一术语的本质理解和归属定位不同。
数据源,工业物联网 数据采集结构化描述规范,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,领域冲突,两个定义将术语“数据源”归入不同领域（工业物联网系统组件 vs. 地理信息数据管理中的来源类型），导致属概念和本质理解不同。
数据源,工业物联网 数据采集结构化描述规范,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,格式冲突,定义2缺少属概念和明确的种差，不符合内涵定义的基本结构，导致无法进行有效的要素对比。
数据源,智能制造 工业数据空间参考模型,智能制造 工业数据 云端适配规范,层级冲突,定义1的属概念为‘原始来源’，定义2的属概念为‘系统或设备’，两者属于不同的上位范畴，导致对术语的层级定位不同。
数据源,智能制造 工业数据空间参考模型,生态科学数据元数据,范围冲突,定义1指原始来源本身，定义2指对该来源的说明，两者指称对象的边界（事物 vs. 对事物的描述）不同。
数据源,智能制造 工业数据空间参考模型,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,范围冲突,定义1强调‘原始来源’，定义2强调‘来源类型’，导致对‘已处理数据’等对象的归属边界划定不同。
